"Group.1","x.Min.","x.1st Qu.","x.Median","x.Mean","x.3rd Qu.","x.Max."
"Asian - Chinese", 1.50387028, 1.60251569, 1.70116109, 1.70116109, 1.79980650, 1.89845190
"Asian or Asian British - Pakistani, Indian or Bangladeshi",-0.98870955,-0.42998093, 0.03118129, 0.02621116, 0.43665343, 1.01185820
"Black African, Black Caribbean or other black background",-0.16086967, 0.56441700, 0.90582904, 0.91033954, 1.21671369, 1.91047582
"Mixed ethnicity",-0.32617013, 0.01394916, 0.47247199, 0.58913146, 0.95365527, 1.91055126
"White",-1.08050809,-0.19053219, 0.21823884, 0.22009505, 0.63511868, 1.68756896
