"","prs_multi_ancestry","name"
"654",-0.446342118683456,"654"
"6741",-0.542038770741486,"6741"
"713",-0.0230039957629361,"713"
"532",0.90088470056634,"532"
"552",1.00381129297088,"552"
"650",0.0345599977193139,"650"
"2017",-0.56114426239528,"2017"
"2326",-0.644212169292617,"2326"
"3250",0.808785568316007,"3250"
"6250",0.968131164544377,"6250"
"7028",0.0659232778797352,"7028"
"3129",0.325748311180001,"3129"
"7073",0.279851230131785,"7073"
"7458",0.0916970669535544,"7458"
"8071",0.450964930423924,"8071"
"9808",1.37557601336814,"9808"
"19258",0.552280366061431,"19258"
"1473",0.560857430900288,"1473"
"2704",1.91055126222038,"2704"
"3051",0.263505675309792,"3051"
"3752",0.721839573171816,"3752"
"513",-0.247450926304177,"513"
"5449",-0.264829986130181,"5449"
"608",0.574699064073931,"608"
"294",0.0880325142233362,"294"
"389",-0.325943336299025,"389"
"387",-0.254436137412436,"387"
"323",0.00401091610865075,"323"
"430",0.738239748330662,"430"
"407",0.15159845911141,"407"
"329",0.00550037288848108,"329"
"495",-0.569734012706087,"495"
"375",0.657691013570803,"375"
"385",0.592167576665128,"385"
"419",-0.623685608725931,"419"
"432",-0.649983926188016,"432"
"439",0.361275705178624,"439"
"442",0.549746121642302,"442"
"452",-0.0327865012208155,"452"
"466",1.19979637697275,"466"
"678",0.395307629814459,"678"
"712",1.38826438212175,"712"
"298",0.463361856861255,"298"
"6593",0.235594917463796,"6593"
"277",0.828000144273336,"277"
"704",-0.172835903423073,"704"
"446",-0.530579781519203,"446"
"562",0.0583516644400679,"562"
"467",0.47116917183786,"467"
"357",-0.446537248511866,"357"
"281",0.265292630067824,"281"
"399",-0.497987654354061,"399"
"386",-0.626985233720264,"386"
"732",-0.98870954642973,"732"
"305",1.06299778141092,"305"
"728",0.461269399690738,"728"
"448",0.593065532733916,"448"
"7090",0.785737986034333,"7090"
"489",-0.288231188768146,"489"
"365",0.504815329008682,"365"
"560",0.35704104421936,"560"
"252",-0.240912134052585,"252"
"526",0.672064470116169,"526"
"760",0.460066012265872,"760"
"306",0.448618112286386,"306"
"729",-0.256336585735474,"729"
"449",-0.24491440463931,"449"
"10790",-0.330127509651157,"10790"
"242",-0.409811141823663,"242"
"366",0.66919534296675,"366"
"605",0.250235317247368,"605"
"352",-0.123494623093463,"352"
"615",0.0170178244692661,"615"
"767",-0.257650792004753,"767"
"309",0.253118405586347,"309"
"730",0.96142287797961,"730"
"258",-0.401187161589807,"258"
"287",-0.326170134535278,"287"
"370",1.57714412704712,"370"
"609",0.749642502769904,"609"
"296",-0.0010292011094221,"296"
"516",-0.499340053762063,"516"
"567",-0.858417261149387,"567"
"311",-0.120406028790071,"311"
"731",0.801444110484242,"731"
"457",0.4388389887904,"457"
"284",0.284432509253866,"284"
"289",-1.08050808611707,"289"
"377",-0.472718087163554,"377"
"621",-0.97540618247941,"621"
"360",0.873287504500884,"360"
"630",0.646436494961928,"630"
"319",-0.354909348206212,"319"
"735",-0.176157273504457,"735"
"464",0.737053246389829,"464"
"291",-0.0310068459280541,"291"
"292",0.177734334496204,"292"
"390",0.173811922586258,"390"
"687",-0.024355274920669,"687"
"641",-0.143698155375674,"641"
"507",-0.649650451484787,"507"
"649",-0.19435785953395,"649"
"413",0.429548920480499,"413"
"747",-0.55319086583796,"747"
"493",-0.180145075573134,"493"
"330",0.773687987562113,"330"
"342",-0.537045642097131,"342"
"393",0.0832079218906291,"393"
"558",0.558735148211446,"558"
"441",0.444030164466686,"441"
"508",0.693694056654265,"508"
"652",0.180304162187264,"652"
"427",0.218238839284793,"427"
"770",0.683454421894844,"770"
"497",-0.348423116192552,"497"
"346",-0.251920451244642,"346"
"394",0.465124908084173,"394"
"683",-0.750602784773739,"683"
"473",-0.0857088988946989,"473"
"533",0.847250857568783,"533"
"668",-0.784724485557371,"668"
"434",0.608938663003409,"434"
"811",-0.315444712455376,"811"
"502",0.838528260425887,"502"
"400",-0.533267177596876,"400"
"349",-0.0125527163395042,"349"
"397",-0.244869610704279,"397"
"754",-0.895401009111115,"754"
"490",-0.168075203602585,"490"
"685",0.126574781327717,"685"
"672",-0.408492836241682,"672"
"437",0.464855513584973,"437"
"900",-0.446086565428463,"900"
"561",0.0562704094799365,"561"
"460",1.18661656222033,"460"
"356",0.905829043037941,"356"
"363",0.482397498782538,"363"
"317",0.498372675350826,"317"
"314",-0.613447165997077,"314"
"703",0.0679191883102192,"703"
"680",0.188836220776612,"680"
"16870",-0.396765122758958,"16870"
"15782",0.606654624564185,"15782"
"17804",-0.506848883571476,"17804"
"13526",1.05066620139433,"13526"
"20772",0.241362953579131,"20772"
"814",-0.127293921843379,"814"
"5206",0.957337224929335,"5206"
"12691",-0.0716267766900489,"12691"
"23141",0.4579669747698,"23141"
"5475",-0.455990924030095,"5475"
"5476",0.630582979598189,"5476"
"8787",1.16549524726483,"8787"
"24245",-0.264522897637649,"24245"
"19007",-0.683307079386292,"19007"
"18486",0.351700257520276,"18486"
"19239",0.209912614932702,"19239"
"18649",0.0846341314090677,"18649"
"17400",-0.21505745514827,"17400"
"3649",-0.18670652118447,"3649"
"3650",0.108812491006785,"3650"
"5657",1.41005716574427,"5657"
"6189",-0.443630274551709,"6189"
"20746",-0.230530744886656,"20746"
"2603",1.05785137318153,"2603"
"21293",-0.11562776716379,"21293"
"5434",1.68756896032713,"5434"
"21415",1.01185819518683,"21415"
"19466",-0.468205491211095,"19466"
"1684",0.0854967175228855,"1684"
"7648",0.125494964324533,"7648"
"17454",-0.156247462087295,"17454"
"5222",0.516308448056875,"5222"
"338",-0.228791712660875,"338"
"19054",1.89845190287379,"19054"
"25936",0.471733369166807,"25936"
"17814",0.856542105121459,"17814"
"12669",0.552028319174435,"12669"
"12758",0.841703727800797,"12758"
"8865",0.548456546648829,"8865"
"2806",0.0745822824299205,"2806"
"23468",0.644840322687793,"23468"
"8675",-0.339252493491213,"8675"
"17823",0.925610193644963,"17823"
"5750",-0.540838268559036,"5750"
"353",0.619195658978838,"353"
"821",0.856174023804879,"821"
"2384",-0.325758126065422,"2384"
"496",-0.540230221111988,"496"
"406",-0.160869673635406,"406"
"431",-0.00858459806973145,"431"
"14658",-0.0762508564760346,"14658"
"12465",0.328156481083055,"12465"
"6847",0.254947672111138,"6847"
"629",0.379945562558006,"629"
"2703",0.314250163567339,"2703"
"612",-0.618909118636618,"612"
"1191",1.1117389603995,"1191"
"1202",0.639654375590753,"1202"
"8391",0.0338343738875603,"8391"
"1291",0.539402552093657,"1291"
"1669",0.941959513584884,"1669"
"5408",0.317070597821626,"5408"
"5409",0.833929594621895,"5409"
"6341",0.758635623507607,"6341"
"3211",0.390540874801676,"3211"
"3281",0.681471789903476,"3281"
"476",-0.150539089529248,"476"
"915",-0.0548943545348661,"915"
"19825",0.607251209352999,"19825"
"4017",0.895786677309727,"4017"
"4167",1.5038702821895,"4167"
"4225",0.0498189540063768,"4225"
"3019",-0.256395741504354,"3019"
"5000",-0.813657854331305,"5000"
"5198",0.729285243284497,"5198"
"5382",-0.32769774941948,"5382"
"5423",0.294959193383654,"5423"
"5573",0.182439894725046,"5573"
"1385",-0.0144517368194811,"1385"
"1984",-0.176634810791359,"1984"
"2154",0.23182571003277,"2154"
"4015",1.5194432925086,"4015"
"6347",0.442506950335464,"6347"
"8133",0.006166219650851,"8133"
"8253",0.338080176849387,"8253"
"8583",0.237771454852668,"8583"
"8659",0.910126420140203,"8659"
"6087",0.649316452067227,"6087"
"7025",0.777812946054646,"7025"
"7030",0.758300247470187,"7030"
"7735",0.192823901543218,"7735"
"10417",-0.424462158838663,"10417"
"12165",0.404529475735264,"12165"
"10021",-0.315122069262869,"10021"
"15303",0.847576458162244,"15303"
"2593",-0.392173526891695,"2593"
"2755",0.897273523445792,"2755"
"3434",-1.08282164642515,"3434"
"3777",0.308738754959986,"3777"
"5166",0.841499633726946,"5166"
"5293",0.879564523579903,"5293"
"1412",0.684326981308058,"1412"
"19902",0.925060721486481,"19902"
"5381",0.763114923005206,"5381"
"5474",-0.0501406495520124,"5474"
"5670",0.134605424861317,"5670"
"9211",0.869561110838464,"9211"
"653",0.871755110283037,"653"
"2707",0.091845996223176,"2707"
"3262",0.641603190154021,"3262"
"13455",1.91047582044139,"13455"
"1121",-0.236013212853513,"1121"
"1810",0.133754248275118,"1810"
"4217",0.593365403477095,"4217"
"5443",-0.0478833429972316,"5443"
"1002",0.790902893820977,"1002"
"3947",-0.246499925037597,"3947"
"8903",0.230711874660087,"8903"
"11333",0.276504131004238,"11333"
